Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
21,Tree AI,Random AI,"(3, 0)","(4, 3)",White - Tree AI,17.5,3.5,38,8,30,6673
22,Random AI,Tree AI,"(2, 5)","(4, 7)",Black - Tree AI,18.5,3.5,10,38,-28,4064
23,Random AI,Tree AI,"(2, 3)","(5, 3)",Stalemate,19.0,4.0,1,38,-37,5058
24,Random AI,Tree AI,"(3, 2)","(4, 2)",Stalemate,19.5,4.5,1,36,-35,7376
25,Tree AI,Random AI,"(2, 2)","(4, 0)",White - Tree AI,20.5,4.5,37,9,28,5215
26,Tree AI,Random AI,"(2, 3)","(4, 7)",White - Tree AI,21.5,4.5,34,9,25,3622
27,Random AI,Tree AI,"(2, 6)","(4, 5)",Black - Tree AI,22.5,4.5,13,39,-26,3337
28,Tree AI,Random AI,"(2, 5)","(4, 5)",White - Tree AI,23.5,4.5,34,6,28,5214
29,Tree AI,Random AI,"(3, 3)","(5, 5)",White - Tree AI,24.5,4.5,37,14,23,2245
30,Tree AI,Random AI,"(3, 5)","(4, 7)",White - Tree AI,25.5,4.5,33,7,26,7991
31,Random AI,Tree AI,"(2, 6)","(5, 2)",Black - Tree AI,26.5,4.5,18,39,-21,3419
32,Random AI,Tree AI,"(3, 4)","(5, 2)",Black - Tree AI,27.5,4.5,2,36,-34,4735
